Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
18,NCD_BMI_30A,COUNTRY,ESP,EUR,Europe,YEAR,1997,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.8 [14.5-17.1],15.76468,14.49629,17.07697,,2024-02-29T16:06:41Z,1997,1997-01-01,1997-12-31
210,NCD_BMI_30A,COUNTRY,WSM,WPR,Western Pacific,YEAR,1991,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,38.8 [36.8-40.8],38.79265,36.77224,40.81577,,2024-02-29T16:06:41Z,1991,1991-01-01,1991-12-31
239,NCD_BMI_30A,COUNTRY,BFA,AFR,Africa,YEAR,2000,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.9 [0.5-1.5],0.92654,0.54649,1.46417,,2024-02-29T16:06:41Z,2000,2000-01-01,2000-12-31
334,NCD_BMI_30A,COUNTRY,IDN,SEAR,South-East Asia,YEAR,1992,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.6 [2.0-3.3],2.59259,2.00802,3.28067,,2024-02-29T16:06:41Z,1992,1992-01-01,1992-12-31
356,NCD_BMI_30A,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2021,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,28.3 [23.3-33.9],28.3365,23.25997,33.85972,,2024-02-29T16:06:41Z,2021,2021-01-01,2021-12-31
685,NCD_BMI_30A,COUNTRY,BRN,WPR,Western Pacific,YEAR,2006,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,18.3 [15.7-21.2],18.341,15.72966,21.16182,,2024-02-29T16:06:41Z,2006,2006-01-01,2006-12-31
1928,NCD_BMI_30A,COUNTRY,NLD,EUR,Europe,YEAR,1996,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,9.9 [9.0-10.8],9.88366,8.9977,10.81054,,2024-02-29T16:06:41Z,1996,1996-01-01,1996-12-31
2142,NCD_BMI_30A,COUNTRY,KNA,AMR,Americas,YEAR,2011,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,45.6 [37.8-53.4],45.55039,37.79708,53.41766,,2024-02-29T16:06:41Z,2011,2011-01-01,2011-12-31
2182,NCD_BMI_30A,COUNTRY,KEN,AFR,Africa,YEAR,2000,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,2.2 [1.2-3.5],2.17215,1.22961,3.52131,,2024-02-29T16:06:41Z,2000,2000-01-01,2000-12-31
2853,NCD_BMI_30A,COUNTRY,NIC,AMR,Americas,YEAR,2014,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,33.5 [29.8-37.2],33.50152,29.83955,37.16887,,2024-02-29T16:06:41Z,2014,2014-01-01,2014-12-31
3038,NCD_BMI_30A,COUNTRY,ETH,AFR,Africa,YEAR,1994,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,0.2 [0.1-0.4],0.23047,0.10595,0.43724,,2024-02-29T16:06:41Z,1994,1994-01-01,1994-12-31
3166,NCD_BMI_30A,COUNTRY,BRN,WPR,Western Pacific,YEAR,2009,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,22.4 [19.0-26.0],22.37619,18.98534,26.04257,,2024-02-29T16:06:41Z,2009,2009-01-01,2009-12-31
3413,NCD_BMI_30A,COUNTRY,NLD,EUR,Europe,YEAR,2015,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,13.5 [11.2-16.1],13.52282,11.1975,16.10947,,2024-02-29T16:06:41Z,2015,2015-01-01,2015-12-31
3695,NCD_BMI_30A,COUNTRY,BLR,EUR,Europe,YEAR,2001,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,23.1 [17.6-29.1],23.06432,17.59285,29.09675,,2024-02-29T16:06:41Z,2001,2001-01-01,2001-12-31
3838,NCD_BMI_30A,COUNTRY,VUT,WPR,Western Pacific,YEAR,1996,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.2 [13.3-17.3],15.23373,13.31304,17.29135,,2024-02-29T16:06:41Z,1996,1996-01-01,1996-12-31
4372,NCD_BMI_30A,COUNTRY,FRA,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,11.8 [10.8-12.9],11.81226,10.78869,12.88334,,2024-02-29T16:06:41Z,2000,2000-01-01,2000-12-31
4690,NCD_BMI_30A,COUNTRY,NZL,WPR,Western Pacific,YEAR,1990,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,14.3 [12.4-16.3],14.29842,12.41487,16.25213,,2024-02-29T16:06:41Z,1990,1990-01-01,1990-12-31
