Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
248,NCD_BMI_30C,COUNTRY,KHM,WPR,Western Pacific,YEAR,2001,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,1.0 [0.8-1.3],0.9817,0.75674,1.27487,,2024-02-29T16:06:41Z,2001,2001-01-01,2001-12-31
341,NCD_BMI_30C,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2020,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,17.5 [15.8-19.2],17.48764,15.79378,19.24573,,2024-02-29T16:06:41Z,2020,2020-01-01,2020-12-31
783,NCD_BMI_30C,COUNTRY,TJK,EUR,Europe,YEAR,1995,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.9 [5.8-10.4],7.90484,5.78327,10.38715,,2024-02-29T16:06:41Z,1995,1995-01-01,1995-12-31
1014,NCD_BMI_30C,COUNTRY,WSM,WPR,Western Pacific,YEAR,2003,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,46.6 [44.6-48.7],46.62329,44.61686,48.69747,,2024-02-29T16:06:41Z,2003,2003-01-01,2003-12-31
1158,NCD_BMI_30C,COUNTRY,NIU,WPR,Western Pacific,YEAR,2000,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,54.6 [49.4-59.8],54.6432,49.43577,59.77076,,2024-02-29T16:06:41Z,2000,2000-01-01,2000-12-31
1429,NCD_BMI_30C,COUNTRY,PYF,WPR,Western Pacific,YEAR,2005,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,40.5 [36.8-44.4],40.52126,36.80917,44.38547,,2024-02-29T16:06:41Z,2005,2005-01-01,2005-12-31
4144,NCD_BMI_30C,COUNTRY,STP,AFR,Africa,YEAR,1993,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.4 [2.4-4.6],3.38285,2.4121,4.59496,,2024-02-29T16:06:41Z,1993,1993-01-01,1993-12-31
4599,NCD_BMI_30C,COUNTRY,KGZ,EUR,Europe,YEAR,2009,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,15.6 [14.0-17.4],15.62842,13.99171,17.41429,,2024-02-29T16:06:41Z,2009,2009-01-01,2009-12-31
4649,NCD_BMI_30C,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2020,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,28.3 [23.1-33.8],28.33553,23.08959,33.81534,,2024-02-29T16:06:41Z,2020,2020-01-01,2020-12-31
4890,NCD_BMI_30C,COUNTRY,TJK,EUR,Europe,YEAR,2001,SEX,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.5 [4.6-11.3],7.50442,4.56908,11.27683,,2024-02-29T16:06:41Z,2001,2001-01-01,2001-12-31
